Geneid	gene_name	control_R1	control_R2	control_R3	sox8_oe_R1	sox8_oe_R2	sox8_oe_R3
ENSGALG00000025473	gga-mir-1596	0	0	0	4	0	0
ENSGALG00000049014	NA	0	0	0	2	0	0
ENSGALG00000046927	NA	303	232	408	159	80	219
ENSGALG00000035563	USP6NL	2240	2259	2289	4164	2658	2358
ENSGALG00000048819	NA	0	0	0	0	0	4
ENSGALG00000006690	ECHDC3	1334	2118	1322	1991	1288	1248
ENSGALG00000055058	NA	219	352	256	671	166	472
ENSGALG00000033772	UPF2	753	1497	987	1174	2411	1722
ENSGALG00000003674	DHTKD1	2938	3534	3434	4513	680	1263
ENSGALG00000036300	SEC61A2	3356	3134	3524	3652	786	1001
ENSGALG00000013967	NUDT5	363	515	436	583	279	276
ENSGALG00000014038	CDC123	3554	3087	3157	3314	666	863
ENSGALG00000033051	CAMK1D	87	93	108	126	7	66
ENSGALG00000030140	CCDC3	158	129	96	99	23	6
ENSGALG00000013738	OPTN	1954	2467	2654	3083	1467	1284
ENSGALG00000034198	MCM10	2480	3063	3196	3213	1048	1366
ENSGALG00000051529	NA	109	140	158	159	298	268
ENSGALG00000035636	PHYH	568	865	863	879	284	196
ENSGALG00000051968	NA	5	22	2	0	26	5
ENSGALG00000014575	SEPHS2L	4884	6023	5075	6751	3453	2845
ENSGALG00000006682	BEND7	273	416	206	300	329	360
ENSGALG00000043593	NA	2207	2921	2583	3044	1187	1566
ENSGALG00000034992	FRMD4A	251	670	447	638	598	623
ENSGALG00000050213	NA	43	122	113	69	111	45
ENSGALG00000025161	gga-mir-1460	0	0	4	0	1	0
ENSGALG00000054941	NA	88	116	105	52	77	160
ENSGALG00000054570	NA	38	37	54	0	72	68
ENSGALG00000033226	FAM107B	3867	2778	3281	3330	1060	1050
ENSGALG00000049029	NA	0	0	0	0	4	0
ENSGALG00000054077	NA	0	0	0	0	1	0
ENSGALG00000035201	HSPA14	10097	8135	10155	8491	2407	2708
ENSGALG00000013920	SUV39H2	11245	7856	12458	9303	2355	1971
ENSGALG00000013926	DCLRE1C	575	649	759	790	404	348
ENSGALG00000000451	MEIG1	14	32	8	9	39	30
ENSGALG00000006633	TMEM243	108	159	111	393	202	250
ENSGALG00000030844	DMTF1	967	1164	898	1077	1096	1404
ENSGALG00000033788	RF02271	0	0	0	0	0	15
ENSGALG00000030324	KIAA1324L	40	41	108	110	51	24
ENSGALG00000006576	GRM3	66	96	113	15	55	16
ENSGALG00000047509	NA	5	4	0	0	0	0
ENSGALG00000047727	NA	6	1	1	0	0	11
ENSGALG00000006563	SEMA3D	1151	2016	1131	1361	1674	1322
ENSGALG00000006560	SEMA3A	1544	2094	1664	1852	1912	1345
ENSGALG00000038225	SEMA3E	223	264	291	253	9	101
ENSGALG00000049217	NA	0	0	0	0	0	3
ENSGALG00000037435	NA	0	8	0	0	1	1
ENSGALG00000039659	NA	52	110	76	30	78	31
ENSGALG00000039355	NA	15	28	28	18	11	24
ENSGALG00000008486	CACNA2D1	374	429	671	580	728	1037
ENSGALG00000048859	NA	40	3	49	28	14	4
ENSGALG00000033974	HGF	210	122	91	57	9	19
ENSGALG00000050082	NA	1	0	0	0	1	0
ENSGALG00000055032	NA	0	0	0	0	0	0
ENSGALG00000052917	NA	0	0	0	5	7	1
ENSGALG00000042096	NA	0	0	0	0	0	0
ENSGALG00000052297	NA	13	10	4	0	7	36
ENSGALG00000053789	NA	0	0	0	0	0	0
ENSGALG00000040444	SEMA3C	222	103	131	398	148	190
ENSGALG00000008439	CD36	38	26	87	51	0	0
ENSGALG00000008427	GNAT3	0	0	10	19	7	0
ENSGALG00000052110	NA	2	8	2	9	4	0
ENSGALG00000008382	GNAI1	12716	11596	14529	13854	1550	2279
ENSGALG00000038834	MAGI2	130	129	175	108	31	100
ENSGALG00000041737	NA	0	0	0	0	15	0
ENSGALG00000008335	PHTF2	348	210	512	283	274	367
ENSGALG00000008330	TMEM60	393	710	530	628	471	320
ENSGALG00000008328	RSBN1L	150	172	115	125	329	246
ENSGALG00000038546	NA	16	27	8	6	1	36
ENSGALG00000051957	PTPN12	1559	957	1124	925	473	617
ENSGALG00000055027	NA	13	14	19	28	10	1
ENSGALG00000008312	GSAP	1421	749	1211	1175	202	470
ENSGALG00000046379	NA	16	13	20	30	25	18
ENSGALG00000050444	NA	7	5	4	0	15	5
ENSGALG00000008309	NA	38	5	17	94	3	10
ENSGALG00000008306	FGL2	0	0	0	1	0	2
ENSGALG00000008301	FAM185A	295	166	137	408	78	50
ENSGALG00000045817	NA	14	34	16	78	18	0
ENSGALG00000008298	LRRC17	16	7	24	6	8	0
ENSGALG00000053565	NA	0	9	4	8	1	1
ENSGALG00000008288	ARMC10	128	221	167	253	56	87
ENSGALG00000008285	NAPEPLD	1564	1127	1605	2982	367	641
ENSGALG00000008280	PMPCB	6080	6192	6657	6771	2359	2403
ENSGALG00000008249	DNAJC2	2261	4478	2765	3410	6381	5435
ENSGALG00000008236	PSMC2	16781	21483	15401	18944	5388	7531
ENSGALG00000008222	SLC26A5	640	546	621	698	238	151
ENSGALG00000008193	RELN	209	41	63	203	104	298
ENSGALG00000047635	NA	2	0	0	0	0	0
ENSGALG00000049743	NA	1	1	0	0	6	7
ENSGALG00000008175	ORC5	3673	2433	3610	3271	959	649
ENSGALG00000051514	NA	0	0	0	0	0	0
ENSGALG00000043367	LHFPL3	34	62	55	45	0	11
ENSGALG00000047191	NA	0	0	0	0	0	2
ENSGALG00000034533	NA	119	174	178	269	118	153
ENSGALG00000054277	NA	65	193	83	120	269	114
ENSGALG00000008167	KMT2E	2198	3540	2854	2628	5079	4906
ENSGALG00000008154	SRPK2	721	672	652	704	906	1184
ENSGALG00000047845	NA	54	14	36	19	68	92
ENSGALG00000008132	PUS7	2800	2692	3111	2651	1685	1786
ENSGALG00000008123	RINT1	2285	1260	1654	2371	357	524
ENSGALG00000045949	EFCAB10	124	286	227	179	216	160
ENSGALG00000008115	ATXN7L1	226	389	463	240	805	583
ENSGALG00000054032	NA	45	24	27	38	12	16
ENSGALG00000052028	NA	14	25	33	15	24	28
ENSGALG00000029006	SYPL1	62	121	107	116	26	58
ENSGALG00000008098	NAMPT	1578	1666	1984	1459	239	264
ENSGALG00000031636	NA	3	11	16	1	21	5
ENSGALG00000048516	NA	0	0	1	0	1	3
ENSGALG00000008081	PIK3CG	206	158	219	209	73	69
ENSGALG00000008060	PRKAR2B	47	37	60	72	88	67
ENSGALG00000008050	HBP1	2546	2000	2497	2419	292	667
ENSGALG00000042764	COG5	2350	2032	2448	2294	444	784
ENSGALG00000008032	NA	93	46	70	55	95	51
ENSGALG00000023661	DUS4L	1053	1108	1184	1081	380	386
ENSGALG00000008009	BCAP29	3971	4986	4245	5445	1835	2175
ENSGALG00000007998	SLC26A4	22	45	60	38	38	14
ENSGALG00000038981	CBLL1	1573	2274	1687	1649	910	870
ENSGALG00000007959	SLC26A3	5	2	0	9	8	9
ENSGALG00000007931	DLD	5689	6872	6406	8465	2424	2585
ENSGALG00000007905	LAMB1	7199	17032	9127	14689	29968	30046
ENSGALG00000007917	LAMB4	81	162	53	120	244	220
ENSGALG00000007183	ERGIC2	8032	9083	9250	8687	3429	3497
ENSGALG00000007161	LRRK2	336	172	341	117	302	437
ENSGALG00000035940	SLC2A13	64	77	60	91	198	134
ENSGALG00000049464	NA	23	0	5	11	0	6
ENSGALG00000038806	NA	2	0	17	9	20	23
ENSGALG00000042554	ABCD2	77	214	82	153	152	66
ENSGALG00000042244	NA	6	13	0	1	3	2
ENSGALG00000007098	KIF21A	3689	4705	4183	3113	4418	3861
ENSGALG00000043872	NA	4	2	9	4	8	6
ENSGALG00000054983	NA	0	0	0	0	1	0
ENSGALG00000007025	CPNE8	88	113	85	48	71	43
ENSGALG00000040272	ALG10	1201	1199	1597	1274	401	380
ENSGALG00000013018	TPRKB	5501	6652	5308	4689	2354	2341
ENSGALG00000004897	GTSE1	6307	5230	6379	5268	1496	1794
ENSGALG00000031922	TRMU	240	256	311	303	470	320
ENSGALG00000043355	NA	444	497	483	673	960	1061
ENSGALG00000054287	NA	198	339	233	335	20	102
ENSGALG00000034274	GRAMD4	268	263	310	397	440	636
ENSGALG00000048109	NA	5	4	5	14	2	13
ENSGALG00000046989	NA	0	0	0	0	0	2
ENSGALG00000019397	CERK	155	354	442	306	404	278
ENSGALG00000052352	NA	0	4	2	10	14	0
ENSGALG00000043058	TBC1D22A	1399	1217	1995	1655	885	1067
ENSGALG00000048010	NA	0	0	0	5	0	0
ENSGALG00000051900	NA	0	0	0	0	0	0
ENSGALG00000047843	NA	0	0	0	0	0	0
ENSGALG00000048481	NA	0	0	1	0	0	0
ENSGALG00000050263	NA	0	0	0	0	0	0
ENSGALG00000052402	NA	0	0	0	0	1	0
ENSGALG00000023584	TAFA5	22	71	52	53	55	45
ENSGALG00000048222	NA	9	28	24	12	6	9
ENSGALG00000048715	NA	0	0	0	0	0	0
ENSGALG00000051371	NA	0	0	0	0	0	0
ENSGALG00000054009	NA	0	0	0	0	0	0
ENSGALG00000029379	BRD1	1295	1367	1310	1429	2863	2189
ENSGALG00000032659	ZBED4	2783	3272	3218	3159	1254	1352
ENSGALG00000052308	NA	0	0	0	0	0	0
ENSGALG00000008539	ALG12	7160	6209	8172	7568	1988	2275
ENSGALG00000008551	CRELD2	4108	4470	4610	4870	1495	1521
ENSGALG00000054568	NA	0	0	0	0	0	0
ENSGALG00000051204	NA	0	0	0	0	0	0
ENSGALG00000050602	NA	0	0	0	0	0	0
ENSGALG00000023576	PIM3	402	550	349	815	83	412
ENSGALG00000049901	NA	0	0	0	2	0	0
ENSGALG00000008554	IL17REL	40	39	96	93	4	7
ENSGALG00000040038	MLC1	403	288	397	58	7	30
ENSGALG00000033664	MOV10L1	1	9	7	35	13	9
ENSGALG00000000003	PANX2	77	119	90	87	96	72
ENSGALG00000030705	TRABD	3833	5330	5407	4879	3895	3729
ENSGALG00000038467	SELENOO	77	219	234	314	379	485
ENSGALG00000032156	TUBGCP6	344	548	697	709	528	685
ENSGALG00000051829	NA	371	180	345	210	198	279
ENSGALG00000051043	NA	1279	1002	1193	880	313	662
ENSGALG00000041251	HDAC10	1709	1300	1595	1191	407	737
ENSGALG00000008635	NA	4267	6576	3491	3994	642	1031
ENSGALG00000019384	MAPK12	872	1055	735	1293	756	643
ENSGALG00000040023	MAPK11	1236	1663	1493	1388	271	499
ENSGALG00000048447	NA	0	0	1	0	0	3
ENSGALG00000047054	NA	4	4	0	0	6	53
ENSGALG00000039861	PLXNB2	1736	1796	1874	2474	2469	2166
ENSGALG00000049506	NA	42	30	46	20	66	84
ENSGALG00000052942	NA	0	0	0	0	2	0
ENSGALG00000033997	ZNF800	408	382	567	409	419	318
ENSGALG00000039403	GRM8	136	99	264	211	91	48
ENSGALG00000025697	RF00003	0	0	0	0	0	0
ENSGALG00000049783	NA	0	0	0	0	0	1
ENSGALG00000008740	POT1	817	647	1315	1293	444	402
ENSGALG00000050462	NA	11	0	0	0	0	3
ENSGALG00000040954	GPR37	225	384	513	722	552	383
ENSGALG00000031527	ARL8BL	344	551	409	441	186	328
ENSGALG00000008761	SPAM1	33	26	36	43	7	10
ENSGALG00000008776	HYAL6	0	0	0	2	0	2
ENSGALG00000054326	NA	46	39	22	12	55	56
ENSGALG00000008797	WASL	453	941	655	776	2031	1354
ENSGALG00000008805	LMOD2	3	0	4	2	16	3
ENSGALG00000008814	ASB15	0	13	22	1	0	0
ENSGALG00000008821	NDUFA5	6745	11329	7929	8347	7567	5950
ENSGALG00000008823	IQUB	98	125	69	117	194	203
ENSGALG00000008836	ATP6AP1	5687	4201	5672	4658	751	778
ENSGALG00000008874	SLC13A1	22	0	0	0	2	0
ENSGALG00000008926	CADPS2	566	618	838	631	592	1147
ENSGALG00000054487	NA	68	276	111	27	44	59
ENSGALG00000008941	FEZF1	54	141	37	12	6	2
ENSGALG00000008953	AASS	47	65	148	163	17	130
ENSGALG00000040114	PTPRZ1	933	1031	1056	494	554	691
ENSGALG00000052468	NA	0	0	0	0	0	0
ENSGALG00000025193	RF00100	0	0	0	0	0	0
ENSGALG00000008975	FAM3C	1419	1700	1609	1858	1351	1250
ENSGALG00000028069	WNT16	0	18	0	9	0	22
ENSGALG00000009002	CPED1	118	65	35	0	6	0
ENSGALG00000025216	gga-mir-1645	0	0	0	0	0	0
ENSGALG00000009023	ING3	2541	2600	2929	2947	861	849
ENSGALG00000009029	TSPAN12	1108	1585	970	1698	405	406
ENSGALG00000009066	KCND2	41	125	0	47	7	75
ENSGALG00000036488	NA	0	0	0	0	0	0
ENSGALG00000050581	NA	0	0	0	0	0	0
ENSGALG00000047604	NA	0	0	0	0	0	0
ENSGALG00000047004	NA	0	0	0	0	0	0
ENSGALG00000009104	ANKRD26	808	798	1013	730	987	1495
ENSGALG00000009110	LSM8	3761	6727	4244	4620	2944	2702
ENSGALG00000050588	NA	1	0	0	0	0	0
ENSGALG00000035009	NA	0	0	0	0	0	0
ENSGALG00000009134	CTTNBP2	167	225	317	419	547	630
ENSGALG00000032986	CFTR	33	73	112	77	46	46
ENSGALG00000046777	NA	0	0	0	0	0	0
ENSGALG00000034574	ASZ1	12	34	36	57	54	0
ENSGALG00000030173	WNT2	1	0	20	6	0	16
ENSGALG00000037206	ST7	2545	2326	2363	2572	1139	938
ENSGALG00000028180	RF02184	4	8	4	10	10	4
ENSGALG00000043437	CAPZA2	16687	16130	17556	19094	4771	5749
ENSGALG00000036883	MET	92	170	178	409	826	859
ENSGALG00000053448	NA	1	0	0	0	2	7
ENSGALG00000048658	NA	0	0	0	0	0	0
ENSGALG00000043287	CAV1	14	16	26	0	3	4
ENSGALG00000033295	CAV2	132	59	132	169	51	21
ENSGALG00000031934	TES	2882	2196	2968	4398	1640	1274
ENSGALG00000040557	TFEC	0	0	11	0	1	0
ENSGALG00000038090	NA	0	1	0	0	0	0
ENSGALG00000055139	NA	7	4	9	0	0	0
ENSGALG00000026838	MDFIC	682	785	916	1713	581	482
ENSGALG00000052419	NA	1	6	1	0	0	0
ENSGALG00000009424	FOXP2	653	674	642	462	321	383
ENSGALG00000052846	NA	0	3	0	0	6	0
ENSGALG00000053114	NA	64	116	106	68	19	37
ENSGALG00000029796	NA	50	56	76	74	124	143
ENSGALG00000009435	PPP1R3A	0	0	0	0	0	0
ENSGALG00000047640	NA	0	0	0	0	0	0
ENSGALG00000051656	NA	0	1	0	0	1	0
ENSGALG00000009439	GPR85	252	143	177	124	16	15
ENSGALG00000025332	gga-mir-1695	0	0	0	0	0	0
ENSGALG00000047917	NA	0	0	3	3	0	2
ENSGALG00000009440	BMT2	124	128	169	185	346	302
ENSGALG00000009443	TMEM168	858	813	739	734	132	486
ENSGALG00000033415	NA	0	0	0	0	0	0
ENSGALG00000009446	LSMEM1	4	0	14	4	11	5
ENSGALG00000009448	IFRD1	8400	9634	9116	9327	3091	3338
ENSGALG00000051998	NA	3	1	1	0	0	0
ENSGALG00000009454	ZNF277	2181	2305	2469	2348	664	1075
ENSGALG00000049134	NA	2	0	1	4	0	5
ENSGALG00000009480	DOCK4	151	156	273	216	448	527
ENSGALG00000009485	IMMP2L	1072	1058	1166	911	506	667
ENSGALG00000009488	LRRN3	77	41	60	102	13	34
ENSGALG00000051277	NA	0	0	0	0	1	1
ENSGALG00000051026	NA	0	0	0	0	0	0
ENSGALG00000050505	NA	0	0	0	0	0	0
ENSGALG00000050401	NA	0	0	0	0	0	0
ENSGALG00000050996	NA	0	0	0	0	0	0
ENSGALG00000052984	NA	0	0	0	0	0	0
ENSGALG00000051116	NA	4	0	2	8	0	0
ENSGALG00000009492	DNAJB9	4398	3173	4435	3939	656	1139
ENSGALG00000009494	THAP5	4638	5083	5406	4245	2063	1817
ENSGALG00000009497	AVPR2	0	0	0	6	0	0
ENSGALG00000009505	PNPLA8	1895	1360	2114	1676	366	744
ENSGALG00000009514	NRCAM	626	364	591	1106	492	949
ENSGALG00000052013	gga-mir-12208	0	3	4	0	13	4
ENSGALG00000053908	NA	0	0	0	2	5	0
ENSGALG00000009523	CNTN1	27	42	21	82	43	33
ENSGALG00000053656	NA	0	0	0	0	0	0
ENSGALG00000048132	NA	0	0	2	0	0	2
ENSGALG00000009530	PDZRN4	140	63	159	11	113	179
ENSGALG00000030765	NA	3	4	5	2	14	5
ENSGALG00000046845	NA	5	7	0	17	0	21
ENSGALG00000047659	NA	0	2	0	0	0	0
ENSGALG00000009532	GXYLT1	474	882	613	1594	2680	2085
ENSGALG00000009540	YAF2	1262	1635	1520	1924	2052	1377
ENSGALG00000009544	ZCRB1	2312	3095	2716	2931	2157	2317
ENSGALG00000009547	PPHLN1	4077	3808	4299	4335	955	1167
ENSGALG00000047978	gga-mir-7447	2	5	4	1	6	12
ENSGALG00000009556	PRICKLE1	406	335	269	538	159	184
ENSGALG00000053357	NA	0	0	0	0	0	0
ENSGALG00000054789	NA	0	0	11	0	3	0
ENSGALG00000050266	NA	0	0	5	0	0	0
ENSGALG00000047965	NA	0	0	0	1	0	0
ENSGALG00000050876	NA	1	0	8	0	0	4
ENSGALG00000009572	ADAMTS20	881	696	927	833	1001	1560
ENSGALG00000009577	PUS7L	482	835	507	904	495	840
ENSGALG00000009586	IRAK4	158	113	176	133	0	118
ENSGALG00000048820	NA	6	1	2	0	0	0
ENSGALG00000009595	TWF1	5469	4483	6464	5478	1829	2098
ENSGALG00000009596	TMEM117	9	1	36	135	51	47
ENSGALG00000053883	NA	0	0	0	3	27	0
ENSGALG00000009601	NELL2	768	663	632	1152	674	542
ENSGALG00000009603	PRLL	27	23	19	5	58	4
ENSGALG00000009604	DBX2	441	304	281	266	401	230
ENSGALG00000047926	NA	3	0	5	0	0	3
ENSGALG00000009638	ANO6	110	95	207	156	89	85
ENSGALG00000049596	NA	3	8	15	10	43	20
ENSGALG00000046889	NA	2	1	2	0	3	1
ENSGALG00000033074	ARID2	1374	1319	1443	762	924	1038
ENSGALG00000028849	SCAF11	6147	9993	7242	7147	8163	7862
ENSGALG00000053774	NA	5	3	18	10	0	17
ENSGALG00000009698	SLC38A1	4314	4360	5515	4121	3705	5083
ENSGALG00000008497	SLC38A2	5546	4448	6451	5663	5686	6388
ENSGALG00000025619	RF00003	0	1	0	0	0	0
ENSGALG00000043800	NA	0	0	0	19	6	2
ENSGALG00000009730	SLC38A4	19	0	0	0	0	6
ENSGALG00000051607	NA	0	0	0	3	0	0
ENSGALG00000055076	NA	0	0	0	0	0	0
ENSGALG00000009739	AMIGO2	356	350	212	83	74	82
ENSGALG00000009743	RPAP3	1913	1826	2145	2025	1880	2041
ENSGALG00000009747	ATP23	5356	4757	5791	5027	1115	1522
ENSGALG00000009755	LRIG3	1280	1327	1633	950	345	637
